0,1,2,3,4,5,6,7,8,9,10,11
78,16477,78,78,2,22,534,0,2,1,0,0
31,4427,31,31,2,22,534,0,2,1,0,0
23,23,23,23,2,22,534,0,2,1,0,0
25,22,25,25,2,22,534,0,2,1,0,0
26,325,26,26,2,22,534,0,2,1,0,0
131,2737,26,74,4,22,534,0,4,3,0,0
0,24,20000000,0,1,52,52,0,1,0,0,0
0,27,20000000,0,1,52,52,0,1,0,0,0
53,27,25,28,3,22,534,0,3,2,0,0
0,28,20000000,0,1,52,52,0,1,0,0,0
24,331,24,24,2,22,534,0,2,1,0,0
29,152,29,29,2,22,534,0,2,1,0,0
26,3124,26,26,2,22,534,0,2,1,0,0
25,24,25,25,2,22,534,0,2,1,0,0
45,5026,45,45,2,22,534,0,2,1,0,0
54,122,54,54,2,22,534,0,2,1,0,0
76,2607,24,28,4,22,534,0,4,3,0,0
0,23,20000000,0,1,52,52,0,1,0,0,0
0,22,20000000,0,1,52,52,0,1,0,0,0
23,25,23,23,2,22,534,0,2,1,0,0
120986559,25,21,1968,8,22,534,0,8,4,0,0
120986559,25,20000000,0,0,22,534,0,0,0,0,0
17,18,17,17,2,22,534,0,2,1,0,0
0,3975,20000000,0,1,52,52,0,1,0,0,0
0,29,20000000,0,1,52,52,0,1,0,0,0
120992742,29,27,27,2,52,52,0,2,0,0,0
0,28,20000000,0,1,52,52,0,1,0,0,0
120992903,48,25,35,5,22,534,0,5,3,0,0
120992903,48,20000000,0,0,22,534,0,0,0,0,0
0,24,20000000,0,1,52,52,0,1,0,0,0
23,24,23,23,2,22,534,0,2,1,0,0
51,34,25,26,3,22,534,0,3,2,0,0
0,26,20000000,0,1,52,52,0,1,0,0,0
0,11664,20000000,0,1,52,52,0,1,0,0,0
0,756,20000000,0,1,52,52,0,1,0,0,0
0,11079,20000000,0,1,52,52,0,1,0,0,0
121032617,3889,12111,12111,2,52,52,0,2,0,0,0
121032617,3889,20000000,0,0,52,52,0,0,0,0,0
121040876,3889,22,132293,12,22,534,0,12,2,8,0
121228868,34,20000000,0,1,22,534,0,1,1,0,0
0,22,20000000,0,1,22,534,0,1,1,0,0
3637,19,3637,3637,2,22,534,0,2,2,0,0
0,45,20000000,0,1,22,534,0,1,1,0,0
0,23,20000000,0,1,22,534,0,1,1,0,0
0,4991,20000000,0,1,22,534,0,1,1,0,0
121888954,4991,17,418099,46,22,534,0,46,3,42,0
121892677,3693,21,7771,16,22,534,0,16,2,12,0
121901333,494,20000000,0,0,22,534,0,0,0,0,0
35,494,35,35,2,22,534,0,2,1,0,0
26,7254,26,26,2,22,534,0,2,1,0,0
21,56487,21,21,2,22,534,0,2,1,0,0
41,359,41,41,2,22,534,0,2,1,0,0
19,7017,19,19,2,22,534,0,2,1,0,0
29,448,29,29,2,22,534,0,2,1,0,0
30,3743,30,30,2,22,534,0,2,1,0,0
121980941,3743,23,4077,5,22,534,0,5,3,0,0
50,3743,20,4077,7,22,534,0,7,4,0,0
19,29,19,19,2,22,534,0,2,1,0,0
