0,1,2,3,4,5,6,7,8,9,10,11
610349,0,116381,208589,5,52,230,0,5,2,0,1
874435,0,40,254468,8,52,630,0,8,3,0,1
3492016,99596,5516,2623644,10,9,973,0,9,4,0,1
3598745,6310,22,2747867,9,52,204,0,9,2,0,1
949007,73857655,39,178121,16,40,333,0,15,5,0,1
74728167,90879,59,73887137,13,40,1200,0,13,3,0,1
21708800,157929,46,19538187,31,40,1472,0,29,5,1,1
2151004,19719642,10,632540,29,40,461,0,29,12,0,1
125014961,115444,479,123426852,72,52,1480,0,71,5,0,1
125145100,4770,27,123585478,40,52,1260,0,40,4,0,1
1532016,7742,24,151824,72,52,1480,0,71,5,0,1
1534231,7966,22,173913,46,52,1260,0,46,4,0,1
2158134,0,17,1646908,18,12,524,0,17,6,0,1
2132027,0,14,1724898,16,6,1410,0,16,12,0,1
60929358,107271,41,15186737,18,40,569,0,15,4,2,1
60994286,51895,134,15198800,16,14,782,0,16,4,0,1
476953,0,22,125397,18,52,487,0,17,5,0,1
453371,0,24,145585,11,52,390,0,11,7,0,1
28678935,109137,34,27104640,30,40,1472,0,27,6,2,1
1551494,27234336,23,382415,33,40,1472,0,33,12,0,1
60726474,283776,70,40471707,17,40,350,0,11,5,2,4
13701854,47752638,598,11113987,10,30,1500,0,10,3,0,1
602857,0,18,123615,12,52,249,0,11,3,0,1
576044,0,1203,216856,6,52,230,0,6,2,0,1
1194,246050553,1194,1194,2,52,83,0,2,1,0,0
496229,680,496229,496229,2,60,83,0,1,1,0,1
399346,0,17,164019,14,42,298,0,13,6,0,1
328553,0,17,206994,10,47,559,0,10,2,0,1
243295064,0,30,243238035,7,52,214,0,7,2,0,1
224279,0,305,96931,7,40,162,0,6,1,0,1
122710112,71478,83,122179089,17,42,298,0,16,6,0,1
468120,122286235,152,204044,12,47,1480,0,12,4,0,1
188199,0,77,132619,6,40,459,0,6,3,0,1
55973404,0,7,712209,2053,22,305,0,2053,6,0,1
122055554,59832847,27,60681836,16,52,1252,0,16,7,0,3
261427,0,2703,153647,5,52,118,0,4,1,0,1
178819264,97334,37,178183865,14,52,765,0,13,4,0,1
200482,0,31,142470,4,52,361,0,4,1,0,1
684377,0,24,148524,14,9,892,0,13,4,0,1
178928490,9020,112294,178317678,6,52,230,0,6,2,0,1
652184,0,31,229744,6,52,630,0,6,3,0,1
12098255,259020,32,11691086,10,10,1298,0,10,4,0,0
60960846,0,794,60917320,4,52,195,0,4,1,0,1
364048958,0,740,362168487,4,52,76,0,4,1,0,0
919,315,919,919,2,52,76,0,2,1,0,0
9795978,92464,4775,8932804,10,9,973,0,9,4,0,1
978970,67001047,55,162315,16,40,333,0,15,5,0,1
67899943,84113,715,67034068,13,40,1200,0,13,3,0,1
38238214,96163,56,27556274,12,40,213,0,9,1,2,1
12717161,14,27,12216965,11,10,1298,0,10,4,0,1
905570,438,948,643527,4,40,213,0,3,1,0,1
641407,364508,8,641377,5,52,60,0,5,0,0,0
540928133,107271,25,15331446,36,40,569,0,30,8,4,2
60840709,5925,33,15331333,13,52,227,0,13,3,0,1
1973278,6679,357,1046825,18,40,1472,0,18,4,0,0
14553066,27675707,15,3544570,44,40,1472,0,42,17,3,2
4062536,0,7,2014933,15,33,289,0,15,4,0,1
932427,0,607,387688,11,43,569,0,10,4,0,1
908340,0,45,261988,7,52,413,0,7,2,0,1
60063129,724587,20,39853020,12,40,350,0,9,3,2,1
20331917,39995445,31,19675385,9,30,1500,0,9,3,0,1
27753313,0,7,628202,1119,22,305,0,1119,6,0,1
38927549,100647,5931,38322320,9,52,765,0,8,4,0,1
29177294,95456,32,28363164,10,9,892,0,9,4,0,1
39024133,334,34,38451167,8,52,230,0,8,2,0,1
29273601,8587,42,28484377,10,52,630,0,10,3,0,1
10505641,118001,4455,9751637,10,9,973,0,9,4,0,1
10603891,5487,73,9887736,9,52,204,0,9,2,0,1
61214285,1610,33,60825031,15,42,298,0,14,6,0,1
61200067,50353,41,60855767,12,47,1480,0,12,3,0,1
194897,0,19,122030,5,52,237,0,5,3,0,1
304813340,26,27,304293806,15,42,298,0,14,6,0,1
304769614,102790,27,304346805,12,47,1480,0,12,3,0,1
1560591,59274220,28,1201737,10,52,1252,0,10,5,0,2
1002345,0,182,269102,12,40,333,0,11,5,0,1
978121,0,17,408474,12,40,1200,0,12,3,0,1
998723,61719115,13,183616,15,40,333,0,14,5,0,1
62633468,89363,13,61742028,15,40,1200,0,15,3,0,1
332677402,6077,25,246225310,34,40,1350,0,25,18,9,3
60716415,116355,28,15034024,18,40,569,0,15,4,2,1
60800652,113335,15,15023141,17,52,1500,0,17,3,0,1
28005851,442295516,5,652410,1159,22,305,0,1159,6,0,1
40126737,93625,29,39520554,9,52,765,0,8,4,0,1
909002,0,28,297210,14,9,892,0,13,4,0,1
40219862,10165,28,39638416,8,52,230,0,8,2,0,1
850905,0,27,214032,8,52,630,0,8,3,0,1
42245027,256849,16,40308854,14,40,350,0,10,3,2,2
783479,41457402,40,226848,9,30,1500,0,9,4,0,1
6753968,89195,2326,6023103,10,9,973,0,9,4,0,1
6822154,13476,43,6134456,8,52,204,0,8,2,0,1
482812542,0,22,242892263,175,17,569,0,174,5,0,1
1350369,238458395,83,306460,46,52,1480,0,46,8,0,1
15212033,0,13,527634,703,22,305,0,703,6,0,1
23540934,108950,485,22973205,9,52,765,0,8,4,0,1
16577342,81081,2177,15858290,10,9,892,0,9,4,0,1
23653298,20,35,23109295,8,52,230,0,8,2,0,1
16632170,41914,13,15959568,10,52,630,0,10,3,0,1
364901,0,50,160751,14,42,298,0,13,6,0,1
319261,0,42,185461,11,47,1480,0,11,2,0,1
38503,0,107,38396,3,40,52,0,2,0,0,1
16936,0,16936,16936,2,40,52,0,2,0,0,1
60723974,32,29,60351972,15,42,298,0,14,6,0,1
60706453,74345,33,60380227,12,47,1480,0,12,2,0,1
24869332,95775,13701,24022949,10,9,973,0,9,4,0,1
24967054,6012,74,24152145,9,52,204,0,9,2,0,1
60844930,119650,16,15009377,19,40,569,0,15,4,3,1
63818349,31,37,62827949,17,40,333,0,16,5,0,1
63741018,83942,37,62864131,13,40,1200,0,13,3,0,1
60855410,48640,308,14968944,13,52,227,0,13,3,0,1
3218905,0,41,3033728,13,52,1144,0,12,6,0,1
3174537,0,25,3037927,16,40,1374,0,15,9,1,1
628920,0,93946,270570,5,52,413,0,5,2,0,1
23269139,0,13,504645,736,1,1500,0,735,47,0,1
23236782,0,7,661155,980,22,305,0,980,6,0,1
663262,0,44,150226,13,52,765,0,12,4,0,1
782958,0,55,165221,14,9,892,0,13,4,0,1
628147,0,111247,227274,5,52,230,0,5,2,0,1
745135,0,48,289663,6,52,630,0,6,3,0,1
9349544,90725,6444,8680998,10,9,973,0,9,4,0,1
9436140,11641,520,8798226,8,52,204,0,8,2,0,1
243368288,0,55,243349836,5,4,516,0,5,2,0,1
305203283,3726,36,304814588,15,42,298,0,14,6,0,1
305216649,18374,43,304883722,12,47,1480,0,12,3,0,1
408657,60970682,40,154726,14,42,298,0,13,6,0,1
98126311,0,17,91527381,17,52,1404,0,17,9,0,2
61359485,23937,19,61004815,12,47,1480,0,12,3,0,1
21788405,538690509,14,567222,880,6,1500,0,879,46,0,1
21769516,0,6,659958,877,22,305,0,877,6,0,1
32579106,104005,12,31984950,9,52,765,0,8,4,0,1
23054041,98460,570,22402145,10,9,892,0,9,4,0,1
32683483,669,7,32112527,8,52,230,0,8,2,0,1
23121654,29957,14,22512035,9,52,630,0,9,3,0,1
12278103,96296,4104,11491867,10,9,973,0,9,4,0,1
12373648,6443,69,11613681,9,52,204,0,9,2,0,1
60923809,113258,257,15132113,18,40,569,0,15,4,2,1
60987819,40309,54,15091858,14,52,227,0,14,3,0,1
969897,60933579,154,181654,15,40,333,0,14,5,0,1
61914740,92725,88,60991560,13,40,1200,0,13,3,0,1
62961049,58956986,17,45647742,17,47,350,0,10,3,0,7
121818929,119107,247,121029644,10,30,1500,0,10,4,0,1
203001156,35,118,202813219,6,52,118,0,5,1,0,1
202954236,37444,82,202853224,5,52,361,0,5,1,0,1
25646466,0,13,515535,917,7,1500,0,916,60,0,1
25625194,0,9,667895,1033,22,305,0,1033,6,0,1
482001207,99141,37,481384187,14,52,765,0,13,4,0,1
96928027,91430,41,96146999,15,9,892,0,14,4,0,1
482142149,4855,40,481548586,7,52,230,0,7,2,0,1
96989638,38129,42,96230981,8,52,630,0,8,3,0,1
304183018,0,215,243358691,7,52,242,0,6,1,0,1
723967,60062457,14,266054,16,42,298,0,15,7,0,1
60745167,30770,14,60073984,14,47,1480,0,14,4,0,1
10926250,104385,4364,10251060,10,9,973,0,9,4,0,1
653293,10378671,17,232704,7,52,204,0,7,2,0,1
464427,0,55,230617,14,42,298,0,13,6,0,1
415551,0,31,246869,11,47,1480,0,11,3,0,1
293105831,134499,865,292305373,12,52,1126,0,11,5,0,1
825954075,7966,22,292488751,56,52,1260,0,56,8,0,2
5826563,0,23,5317643,9,52,1247,0,8,4,0,1
5792466,0,57,5132356,8,52,900,0,8,4,0,1
4396931,143024,1106,2683275,68,52,1480,0,67,5,0,1
4526269,73,23,2835341,46,52,1496,0,46,5,0,1
304370434,0,28,243313991,6,52,232,0,5,1,0,1
1795792,9939,749,156671,70,52,1480,0,69,5,0,1
1801764,793,19,200735,52,52,1260,0,52,4,0,1
243543667,0,24,241495873,94,52,1357,0,94,26,0,2
61067106,0,48,60914263,8,42,1500,0,8,4,0,1
676714,0,321,147823,11,43,569,0,10,4,0,1
617141,0,91454,252854,5,52,413,0,5,2,0,1
186126764,85672,359,184944898,16,40,333,0,15,5,0,1
186224043,918,60,185071677,14,40,1200,0,14,3,0,1
61029769,106104,27,15161312,18,40,569,0,15,4,2,1
61129294,50739,33,15164486,16,14,782,0,16,4,0,1
30387158,0,13,504871,1143,1,1500,0,1142,69,0,1
30367499,0,7,505501,1266,22,305,0,1266,6,0,1
42681730,112927,1590,42076358,9,52,765,0,8,4,0,1
31738246,108211,52,30953091,16,9,973,0,14,7,0,2
35567,29920,6144,29423,3,52,83,0,3,1,0,0
579017,42219373,148,192971,7,52,230,0,7,2,0,1
31850915,1517,61,31096404,16,52,630,0,16,5,0,2
40678,488,40678,40678,2,52,52,0,2,0,0,0
71249844,90764,61,70208402,17,40,333,0,16,5,0,1
71244758,35,61,70353275,13,40,1200,0,13,3,0,1
1048126,0,22,251512,18,52,487,0,17,5,0,1
1050454,0,223,306867,11,52,390,0,11,7,0,1
608246453,98548,27,607620796,13,52,249,0,12,3,0,1
608409714,2444,1479,607802691,7,52,230,0,7,2,0,1
839898,243087954,22,252377,17,42,298,0,16,7,0,1
26764111,0,14,1272093,661,24,1500,0,660,51,0,1
243918777,24470,24,243121509,15,47,1480,0,15,4,0,1
26738237,0,7,1379344,938,22,305,0,938,6,0,1
660913,0,747,138444,13,52,765,0,12,4,0,1
718300,0,131,146190,14,9,892,0,13,4,0,1
627461,0,115846,214213,5,52,230,0,5,2,0,1
669307,0,41,244478,6,52,630,0,6,3,0,1
712736,0,24,378308,16,12,524,0,15,6,0,1
700060,0,24,461922,15,6,1410,0,15,11,0,1
680327,60782935,34,272626,15,42,298,0,14,6,0,1
250208,0,30,105312,7,40,162,0,6,1,0,1
61471001,22122,34,60808074,13,47,1480,0,13,4,0,1
219998,0,43,141931,6,40,459,0,6,3,0,1
18373377,86585,48,17608091,10,9,973,0,9,4,0,1
18434959,17239,47,17715376,9,52,204,0,9,2,0,1
61150883,0,1126,61118968,4,52,195,0,4,1,0,1
61142737,117449,16,15332287,18,40,569,0,15,4,2,1
61126100,51493,51,15331313,13,52,227,0,13,3,0,1
62501985,59038866,9,45836577,17,47,350,0,11,4,0,6
121412973,123717,18,120200081,10,30,1500,0,10,4,0,1
304415750,0,7,300241683,14,52,1500,0,13,4,0,1
3453851,0,23,2034799,13,33,289,0,13,4,0,1
14760563,0,8,733355,654,22,305,0,654,6,0,1
34548475,102569,2092,33949658,9,52,765,0,8,4,0,1
16042984,78213,2641,15404295,10,9,892,0,9,4,0,1
34648893,804,26,34074960,8,52,230,0,8,2,0,1
16094272,41856,40,15487186,9,52,630,0,9,3,0,1
978474,62017767,37,183843,16,40,333,0,15,5,0,1
62909490,89055,26,62040585,13,40,1200,0,13,3,0,1
735577243,0,3653,60999665,22,13,397,0,21,18,0,1
17210711,94038,5984,16551292,10,9,973,0,9,4,0,1
17318544,8936,159,16672151,9,52,204,0,9,2,0,1
344900,243959696,24,154414,14,42,298,0,13,6,0,1
244295677,22977,26,243999591,12,47,1480,0,12,2,0,1
586644,0,16,232351,15,42,298,0,14,6,0,1
539328,0,21,263229,12,47,1480,0,12,3,0,1
244646521,0,23,91634958,30,52,1452,0,29,10,0,1
244652100,0,14,91689547,25,0,1452,0,25,13,0,1
15119475,0,15,522713,547,2,1500,0,546,32,0,1
15084082,0,9,657128,687,15,1500,0,687,7,0,1
673163,0,18,137624,13,52,765,0,12,4,0,1
769821,0,21,161124,14,9,892,0,13,4,0,1
